"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04152","mmu04152","AMPK signaling pathway","24/570","108/6573",1.22650755742486e-05,0.00380217342801707,0.00331802570798094,"18640/226849/56484/107476/74370/19325/18708/51792/22084/19326/20249/15378/18710/100705/19016/68465/11652/14936/16001/52432/15568/384783/18709/270198",24
"mmu05222","mmu05222","Small cell lung cancer","19/570","84/6573",7.62307680702241e-05,0.0118157690508847,0.0103112144179198,"16782/11783/17187/22031/13557/18708/14198/14083/19211/18033/12448/18710/12571/11652/12028/12826/12827/18709/11798",19
"mmu04120","mmu04120","Ubiquitin mediated proteolysis","24/570","128/6573",0.000218521727473088,0.0225805785055525,0.0197052926177487,"14897/52717/22213/22210/22187/12189/26401/218793/50873/71745/22193/17222/70093/107568/100763/231380/22190/77891/80794/15204/22215/66894/50868/11798",24
"mmu00592","mmu00592","alpha-Linolenic acid metabolism","8/570","22/6573",0.000325117312623971,0.0251965917283577,0.0219881971958844,"18783/11430/53357/271844/66350/18780/18784/80911",8
